OBJECTID,HUC_12,pCanopy
767,010500010305,79.696947517974777
768,010500010306,76.248510625461890
769,010500010307,76.440540604679867
770,010500010401,74.048425303871696
771,010500010402,70.940663754373617
772,010500010403,72.381123426042606
773,010500010404,70.303736748692856
774,010500010501,76.265393976522006
775,010500010502,73.470584662110852
776,010500010503,72.486985898418695
777,010500010504,70.929641190114836
778,010500010505,73.243239078511436
779,010500010506,74.302088423043585
780,010500010601,72.547952112950981
781,010500010602,75.417390622900896
782,010500010603,72.283401070898648
783,010500010604,75.246880060969801
784,010500010605,74.398691749582042
785,010500010606,73.117392310489606
786,010500010701,76.725697306207437
787,010500010702,75.485580712674292
788,010500010705,76.343583678296866
789,010500010706,74.981353822586044
790,010500010707,77.602388366344584
791,010500010708,74.880029911679699
792,010500010801,72.146238552637882
793,010500010802,68.830031672905264
794,010500010804,69.804835924006909
795,010500010806,68.857323056982821
796,010500010809,65.619752954387465
797,010500010810,70.374746666212516
798,010500020101,70.346238227739732
799,010500020102,70.173672480167085
800,010500020103,72.125668781883789
801,010500020104,74.483410768748399
802,010500020201,76.227527707122093
803,010500020202,71.405937101457141
804,010500020203,71.126037916556214
805,010500020204,71.484795513941052
806,010500020205,60.576780218614033
807,010500020301,74.267608612401901
808,010500020302,75.215438290449200
809,010500020401,75.659619198139225
810,010500020402,76.424926571372623
811,010500020403,75.995020641349214
812,010500020501,75.839259050002013
813,010500020502,73.984513661202186
814,010500020503,74.087708430127506
815,010500020601,67.040833292043089
816,010500020602,67.767823087847432
817,010500020603,65.676490591702560
818,010500020604,65.908211358609051
819,010500020701,64.022299922893112
820,010500020702,63.194399394529135
821,010500020703,15.773039317661743
822,010500020801,63.508247173138770
823,010500020802,57.452669309062436
824,010500020803,62.365120216308739
825,010500020804,61.391936549900862
826,010500020805,14.695776081424937
827,010500020901,75.568567754127187
828,010500020902,57.483006550694554
829,010500020903,55.376438517164267
830,010500020904,63.247280563727166
831,010500020905,67.641497843586436
832,010500020906,54.807858878208513
833,010500020907,61.684673366834168
834,010500020908,10.878748370273794
835,010500021001,71.709539460481551
836,010500021002,54.418037722654958
837,010500021003,72.592828761093529
838,010500021004,70.455169514524869
839,010500021005,63.282169413909237
840,010500021006,71.059167982076474
841,010500021007,64.646114611461144
842,010500021008,10.216338028169014
843,010500021101,78.250226029026891
844,010500021102,71.139135069474577
845,010500021103,71.186905295772348
846,010500021104,0.000000000000000
847,010500021105,8.845077220077220
848,010500021106,68.396507474533664
849,010500021107,54.684210526315788
850,010500021108,12.713076199435561
851,010500021109,65.837127845884410
852,010500021110,16.454358974358975
853,010500021111,20.776734830707341
854,010500021201,74.069750439213891
855,010500021202,74.996493022576161
856,010500021203,72.959184888683055
857,010500021204,68.372288629338883
858,010500021205,75.380886362586068
859,010500021206,76.759774928866008
860,010500021207,74.981964127546505
861,010500021208,71.842658186204631
862,010500021209,73.618225221503010
863,010500021210,69.839475932067131
864,010500021211,72.075768012122879
